fragment,author_label,year,day,author_name
"with open(""input"") as f:
    ls = f.read().strip().split(""\n"")

l1, l2 = zip(*[map(int, x.split()) for x in ls])",author_2,2024,1,fuglede
"def safe1(levels):
    return all(1 <= abs(n1 - n2) <= 3 for n1, n2 in zip(levels, levels[1:])) and (
        levels == sorted(levels) or levels == sorted(levels)[::-1]
    )",author_2,2024,2,
"def solve(part1):
    res = 0
    do = True
    for i, j, k in re.findall(""(mul\((\d+),(\d+)\)|do\(\)|don't\(\))"", data):
        if i == ""don't()"":
            do = False
        elif i == ""do()"":
            do = True
        else:
            if do or part1:
                res += int(j) * int(k)
    return res",author_2,2024,3,
"boardz = defaultdict(str)
boardz |= {i + 1j * j: x for i, l in enumerate(ls) for j, x in enumerate(l)}
octdir = {i + 1j * j for (i, j) in set(product((-1, 0, 1), (-1, 0, 1))) - {(0, 0)}}

# Part 1
print(
    sum(
        [boardz[z + i * dz] for i in range(4)] == [""X"", ""M"", ""A"", ""S""]
        for z in list(boardz.keys())
        for dz in octdir
    )
)",author_2,2024,4,
"unsorted_updates = {
    update
    for update in updates
    if any(
        a in update and b in update and update.index(a) > update.index(b)
        for a, b in rules
    )
}

# Part 1
print(
    sum(
        update[len(update) // 2] for update in updates if update not in unsorted_updates
    )
)",author_2,2024,5,
"# Part 1
start = next(w for w, x in board.items() if x == ""^"")
walls = {w for w, x in board.items() if x == ""#""}
seen = set()
z = start
dz = -1
while z in board:
    seen.add(z)
    if z + dz in walls:
        dz *= -1j
        continue
    z += dz

print(len(seen))",author_2,2024,6,
"def solve(part2):
    worked = 0
    all_ops = [mul, add]
    if part2:
        all_ops.append(lambda a, b: int(str(a) + str(b)))
    for nums in ns:
        test, start, *rest = nums
        for ops in product(*[all_ops for _ in range(len(rest))]):
            res = start
            for num, op in zip(rest, ops):
                res = op(res, num)
            if res == test:
                worked += res
                break
    return worked
",author_2,2024,7,
"from collections import defaultdict
from itertools import permutations

with open(""input"") as f:
    ls = f.read().strip().split(""\n"")

board = {i + 1j * j: x for i, l in enumerate(ls) for j, x in enumerate(l)}
antennas = defaultdict(list)
for z, x in board.items():
    if x not in (""."", ""#""):
        antennas[x].append(z)

# Part 1
antinodes = {
    2 * z2 - z1 for zs in antennas.values() for z1, z2 in permutations(zs, 2)
} & board.keys()
print(len(antinodes))",author_2,2024,8,
"with open(""input"") as f:
    ns = list(map(int, f.read().strip()))

# Part 1
disk = []
for i, n in enumerate(ns):
    disk += [None if i % 2 else i // 2] * n

head = ns[0]
while head < len(disk):
    if disk[head]:
        head += 1
    elif num := disk.pop():
        disk[head] = num

print(sum(i * n for i, n in enumerate(disk)))",author_2,2024,9,
"import networkx as nx

with open(""input"") as f:
    ls = f.read().strip().split(""\n"")

board = {i + 1j * j: int(x) for i, l in enumerate(ls) for j, x in enumerate(l)}

G = nx.DiGraph(
    (z, z + dz)
    for z, h in board.items()
    for dz in (1, -1, 1j, -1j)
    if board.get(z + dz) == h + 1
)",author_2,2024,10,
"from fileinput import input
import os

l1, l2 = [], []
for line in input():
    a1, a2 = line.split('   ')
    l1.append(int(a1)), l2.append(int(a2.replace('\n', '')))
    
if int(os.environ.get('part', 1)) <= 1: # part 1
    s = sum([abs(a-b) for a,b in zip(sorted(l1), sorted(l2))])
else: # part 2
    s = sum(a * l2.count(a) for a in l1)
print(s)",author_3,2024,1,StephaneBranly
"valid_reports = 0
for report in input():
    levels = report.replace('\n','').split(' ')
    diff_levels = [int(a) - int(b) for a, b in zip(levels, levels[1:])]

    if int(os.environ.get('part', 1)) <= 1: # part 1
        if check_rules(diff_levels):
            valid_reports += 1
    else: # part 2
        if check_rules(diff_levels): valid_reports += 1
        else:
            for i in range(len(levels)):
                modified_levels = [d for ind, d in enumerate(levels) if i != ind]
                diff_levels = [int(a) - int(b) for a, b in zip(modified_levels, modified_levels[1:])]
                if check_rules(diff_levels):
                    valid_reports += 1
                    break",author_3,2024,2,
"if int(os.environ.get('part', 1)) <= 1: # part 1
    for line in input():
        mults = re.finditer('mul\\((\\d+),(\\d+)\\)', line)
        r += sum([int(m.group(1)) * int(m.group(2)) for m in mults])
else: # part 2
    instructions = [(-1, True)]
    for line in input():
        instructions = [(-1, instructions[-1][1])] + [(m.start(), m.group(1) == 'do()') for m in re.finditer(""(do\\(\\)|don't\\(\\))"", line)]
        mults = re.finditer('mul\\((\\d+),(\\d+)\\)', line)
        r += sum([int(m.group(1)) * int(m.group(2)) for m in mults if [exe for start, exe in instructions if start < m.start()][-1]])
print(r)",author_3,2024,3,
"if int(os.environ.get('part', 1)) <= 1: # part 1
    for i, line in enumerate(map):
        for j, cell in enumerate(line):
            if cell == 'X':
                for dx, dy in [(-1,-1), (0, -1), (1, -1), (-1, 0), (1, 0), (-1, 1), (0, 1), (1, 1)]:
                    valid = True
                    for di, l in enumerate('MAS'):
                        nx, ny = i + dx * (di + 1), j + dy * (di + 1)
                        if nx < 0 or nx >= len(map) or ny < 0 or ny >= len(line) or map[nx][ny] != l:
                            valid = False
                            break
                    if valid: count += 1",author_3,2024,4,
"def is_valid_instruction(instruction, start_index=0):
    for index, page in enumerate(instruction[start_index:]):
        index+=start_index
        for next_index, next_page in enumerate(instruction[index+1:]):
            if page in constraints.get(next_page, []):
                return False, index, next_index + index + 1
    return True, index, next_index + index + 1

for instruction in instructions:
    valid, i, j = is_valid_instruction(instruction)
    if int(os.environ.get('part', 1)) <= 1 and valid: # part 1
        sum += instruction[math.floor(len(instruction) / 2)]
    elif int(os.environ.get('part', 1)) > 1 and not valid:
        instruction = instruction.copy()
        while not valid: # we suppose that swapping will lead to a valid solution
            instruction[i], instruction[j] = instruction[j], instruction[i]
            valid, i, j = is_valid_instruction(instruction, i)
        sum += instruction[math.floor(len(instruction) / 2)]

print(sum)",author_3,2024,5,
"map, i = [], 1
for line in input():
    line = line.replace('\n','')
    for symbol in directions.keys():
        if symbol in line:
            agent['direction'], agent['position'] = symbol, (i, line.index(symbol))
    map.append(line)
    i+=1
continuer, count = True, 1
while continuer:
    x, y = agent['position']
    next_y, next_x = y + directions[agent['direction']]['vector'][0], x + directions[agent['direction']]['vector'][1]
    if next_y < 0 or next_x < 0 or next_y >= len(map) or next_x >= len(map[0]):
        continuer = False
    elif map[next_y][next_x] == '#':
        map[y]= map[y][:x] + '+' + map[next_y][x + 1:]
        agent['direction'] = directions[agent['direction']]['turn']
    else:
        if map[next_y][next_x] == '.':
            map[next_y] = map[next_y][:next_x] + directions[agent['direction']]['marker'] + map[next_y][next_x + 1:]
            count += 1
        agent['position'] = (next_y, next_x)",author_3,2024,6,
"def is_valid(test_value, sum, operands):
    if not len(operands):
        return test_value == sum
    if (sum > test_value):
        return False
    
    if is_valid(test_value, sum + operands[0], operands[1:]) or is_valid(test_value, sum * operands[0], operands[1:]):
        return True
    
    if int(os.environ.get('part', 1)) > 1: # part 2
        return is_valid(test_value, int(f'{sum}{operands[0]}'), operands[1:])
    return False",author_3,2024,7,
"step_1 = int(os.environ.get('part', 1)) <= 1

antennas = {}
map = [line.replace('\n', '') for line in input()]
antinodes_map = [[0] * len(l) for l in map]
def check_antinodes(new_antenna, antennas, antinodes_map):
    for antenna in antennas:
        v = (new_antenna[0] - antenna[0], new_antenna[1] - antenna[1])
        for ref, dir in [(new_antenna, v), (antenna, (v[0] * -1, v[1] * -1))]:
            valid, d = True, 1 if step_1 else 0
            while valid:
                y, x = ref[0] + d * dir[0],  ref[1] + d * dir[1]
                if y >= 0 and y < len(antinodes_map) and x >= 0 and x < len(antinodes_map[0]):
                    antinodes_map[y][x] = 1
                else:
                    valid = False
                if step_1: valid = False
                d += 1",author_3,2024,8,
"while continuer:
    while space[last_digit] == '.' and last_digit >= 0:
        last_digit -= 1
    
    if int(os.environ.get('part', 1)) <= 1:
        block_size = 1
    else:
        block_size = space.count(space[last_digit])

    compatible = [i for i, a in enumerate(available_spaces) if block_size <= a[2]]
    if len(compatible):
        available_space = available_spaces[compatible[0]]
        for i in range(block_size):
            space[available_space[0] + i], space[last_digit - i] = space[last_digit - i], space[available_space[0] + i]
        available_spaces[compatible[0]] = (available_space[0] + block_size, available_space[1], available_space[2] - block_size)
        
    last_digit -= block_size",author_3,2024,9,
"def explore_cell(y, x):
    if (y, x) in transitions: return transitions[(y, x)]
    nexts = []
    if map[y][x] == '9': nexts = [(y, x)]
    elif map[y][x] == '.': pass
    else: 
        for dy, dx in [(-1, 0), (0, 1), (1, 0), (0, -1)]:
            next_y, next_x = dy + y, dx + x
            if next_x < 0 or next_x >= len(map[0]) or next_y < 0 or next_y >= len(map):
                pass
            elif map[next_y][next_x] != '.' and int(map[y][x]) + 1 == int(map[next_y][next_x]):
                nexts += explore_cell(next_y, next_x)
    if int(os.environ.get('part', 1)) > 1: # part 2
        nexts = list(set(nexts))
    transitions[(y, x)] = nexts
    return nexts",author_3,2024,10,
"for a, b in zip(sorted(n[::2]), sorted(n[1::2])):
    s1 += abs(a - b)
    s2 += a * n[1::2].count(a)
print(s1, s2, sep=""\n"")",author_4,2024,1,LiquidFun
"for line in open(0):
    n = [int(a) for a in line.split()]
    s1 += is_safe(n)
    s2 += any(is_safe(n[:i] + n[i+1:]) for i in range(len(n)))
print(s1, s2, sep=""\n"")",author_4,2024,2,
"for a, b, dont in re.findall(r""mul\((\d+),(\d+)\)|do(n't)?"", open(0).read()):
    if a or b:
        s1 += int(a) * int(b)
        s2 += int(a) * int(b) * enabled
    else:
        enabled = dont == ''
print(s1, s2, sep=""\n"")",author_4,2024,3,
"s1 = s2 = 0
for c in coords:
    for d in [1, 1j, 1+1j, 1-1j, -1, -1j, -1+1j, -1-1j]:
        s1 += g(c) + g(c+d) + g(c+d*2) + g(c+d*3) == ""XMAS""
        if d.imag and d.real:
            s2 += g(c+d) + g(c) + g(c-d) == ""MAS"" and g(c+d*1j) + g(c-d*1j) == ""MS""",author_4,2024,4,
"s = [0, 0]
for row in pages.splitlines():
    old, new = row.split("",""), []
    for o in old * 100:
        if o in new: continue
        if all(b in new for b, a in rules if o == a and b in old):
            new.append(o)
    s[new != old] += int(new[len(new)//2])",author_4,2024,5,
"def solve(obstruction, pos=start, d=-1j):
    seen = set()
    while pos in coords:
        seen.add((pos, d))
        while coords.get(pos + d, ""#"") != '#' and pos + d != obstruction:
            pos += d
            seen.add((pos, d))
        if pos + d not in coords:
            return {p for p, _ in seen}
        d *= 1j
        if (pos, d) in seen:
            return True
",author_4,2024,6,
"s1 = s2 = 0
for line in open(0):
    first, rest = line.split("": "")
    n = [int(a) for a in rest.split()]
    first = int(first)
    repeat = len(n) - 1
    for mask in range(3**repeat):
        s = n[0]
        for_part1 = True
        for i in range(repeat):
            mask, index = divmod(mask, 3)
            for_part1 &= index != 2
            op = [add, mul, concat][index]
            s = op(s, n[i+1])
            if s > first:
                break",author_4,2024,7,
"for char, coord in order:
    if char == '.': continue
    for (a, _), (b, _) in combinations(coord, r=2):
        diff = a - b
        p1 |= {a + diff*i for i in (-2, 1)}
        p2 |= {a + diff*i for i in range(-100, 100)}",author_4,2024,8,
"def solve1(files, s=0, index=-1, f=-1):
    while f+1 < len(files):
        file = files[f := f + 1]
        is_file = f%2 == 0
        for _ in range(file):
            i = f//2 if is_file else len(files) // 2
            s += i * (index := index + 1)
            if not is_file:
                files[-1] -= 1
                while files[-1] == 0 or len(files) % 2 == 0 and len(files)-1 != f:
                    files.pop()
                if len(files)-1 == f:
                    break
    return s",author_4,2024,9,
"def hike(c, peaks, paths=0):
    if coords[c] == 9: 
        peaks.add(c)
        return 1
    for d in [1, 1j, -1, -1j]:
        if coords.get(c+d) == coords[c] + 1:
            paths += hike(c+d, peaks)
    return paths

p1, s2 = {c: set() for c in coords}, 0
for c in coords:
    if coords[c] == 0:
        s2 += hike(c, p1[c])
",author_4,2024,10,
"def parse(data):
    rows = get_numbers_from_lines(data)
    location_ids_1 = [id[0] for id in rows]
    location_ids_2 = [id[1] for id in rows]
    return [location_ids_1, location_ids_2]",author_5,2024,1,TessFerrandez
"def is_safe(report):
    increasing = report[1] > report[0]

    if increasing:
        for i in range(1, len(report)):
            diff = report[i] - report[i - 1]
            if not (1 <= diff <= 3):
                return False
        return True
    else:
        for i in range(1, len(report)):
            diff = report[i] - report[i - 1]
            if not (-3 <= diff <= -1):
                return False
        return True",author_5,2024,2,
"def multiply(data):
    multiplication_statements = re.findall(r""mul\([\d]+,[\d]+\)"", data)
    total = 0
    for statement in multiplication_statements:
        x, y = map(int, re.findall(r""[\d]+"", statement))
        total += x * y
    return total
",author_5,2024,3,
"def parse(data):
    xes, ms = [], []
    word_soup = defaultdict(lambda: """")
    for i, line in enumerate(data.splitlines()):
        for j, char in enumerate(line):
            word_soup[(i,j)] = char
            if char == 'X':
                xes.append((i,j))
            if char == 'M':
                ms.append((i,j))
    return word_soup, xes, ms",author_5,2024,4,
"def parse(data):
    rules, updates = get_groups(data)
    rules = get_numbers_from_lines(rules)
    updates = get_numbers_from_lines(updates)
    return rules, updates",author_5,2024,5,
"def parse(data):
    data = data.splitlines()
    obstacles = set()
    for y, line in enumerate(data):
        for x, char in enumerate(line):
            if char == '#':
                obstacles.add((x, y))
            elif char == '^':
                start = (x, y)
    width = len(data[0])
    height = len(data)
    return obstacles, start, width, height",author_5,2024,6,
"def part1(data):
    def is_good(target, terms):
        if len(terms) == 1:
            return target == terms[0]
        first, second = terms[:2]
        return is_good(target, [first + second, *terms[2:]]) or is_good(target, [first * second, *terms[2:]])

    good = []
    for line in data:
        target = line[0]
        terms = line[1:]
        if is_good(target, terms):
            good.append(target)

    return sum(good)",author_5,2024,7,
"def get_anti_nodes(antennas, antenna, width, height):
    anti_nodes = set()
    antenna_locations = antennas[antenna]
    for i in range(len(antenna_locations) - 1):
        for j in range(i + 1, len(antenna_locations)):
            x1, y1 = antenna_locations[i]
            x2, y2 = antenna_locations[j]
            dx, dy = x2 - x1, y2 - y1
            a1 = (x2 + dx, y2 + dy)
            a2 = (x1 - dx, y1 - dy)
            if in_grid(a1, width, height):
                anti_nodes.add(a1)
            if in_grid(a2, width, height):
                anti_nodes.add(a2)
    return anti_nodes",author_5,2024,8,
"def part1(data):
    files = data[::2]
    spaces = data[1::2]
    file_spread = []
    for id, num in enumerate(files):
        file_spread += [id] * num
    total_files = len(file_spread)

    disk = []
    id = 0
    while file_spread and id < len(spaces):
        disk += [id] * files[id]
        for _ in range(spaces[id]):
            disk.append(file_spread.pop())
        id += 1

    return sum(i * id for i, id in enumerate(disk[:total_files]))",author_5,2024,9,
"def part1(grid, width, height):
    def find_paths(pos):
        end_positions = set()
        level = 0
        queue = [(pos, level)]
        while queue:
            pos, level = queue.pop()
            if level == 9:
                end_positions.add(pos)
            else:
                for dx, dy in [(0, 1), (1, 0), (0, -1), (-1, 0)]:
                    new_pos = (pos[0] + dx, pos[1] + dy)
                    if new_pos in grid and grid[new_pos] == level + 1 and (new_pos, level + 1) not in queue:
                        queue.append((new_pos, level + 1))
        return len(end_positions)

    starts = [pos for pos, elevation in grid.items() if elevation == 0]
    paths = 0
    for start in starts:
        paths += find_paths(start)
    return paths",author_5,2024,10,
"class Puzzle:
    def __init__(self, text_input):
        self.input = text_input
        self.left, self.right = self.separate_lists()
        self.ordered_left, self.ordered_right = self.order_lists()
        self.difs = self.calculate_difs()

    def separate_lists(self):
        left = []
        right = []

        for item in self.input:
            parts = item.split()
            left.append(int(parts[0]))
            right.append(int(parts[1]))
        return left, right",author_6,2024,1,reycardo
"def is_safe(self, lvl_increase):
        if (
            all(x >= 1 for x in lvl_increase) and all(x <= 3 for x in lvl_increase)
        ) or (
            all(x <= -1 for x in lvl_increase) and all(x >= -3 for x in lvl_increase)
        ):
            return True
        else:
            return False
",author_6,2024,2,
"def split_string(self, text, delimiters):
        pattern = '|'.join(map(re.escape, delimiters))
        parts = re.split(f'({pattern})', text)
        result = {}
        # mul instructions enabled at the beginning: delimiters[1] = do
        result[delimiters[1]] = [parts[0]]
        # parts:
        # [mul, do, mul, dont, mul]
        # [mul, don't, mul, do, mul]
        # even stuff is the delimiter
        for i in range(1, len(parts), 2):
            delimiter = parts[i]
            value = parts[i + 1] if i + 1 < len(parts) else ''
            if delimiter in result:
                result[delimiter].append(value)
            else:
                result[delimiter] = [value]
        return result",author_6,2024,3,
"def get_neighbours(self, point: Point, include_self: bool = False, scalar: int = 3):
        neighbours = []
        for i in range(1,scalar+1):
            neighbours.append(point.get_scaled_neighbours(directions=self.directions, scalar=i))        
        transposed_neighbours = list(map(list, zip(*neighbours)))        
        
        if include_self:
            for neighbour_list in transposed_neighbours:
                neighbour_list.insert(0, point)          
        
        return {cardinal: neighbours for cardinal, neighbours in zip(self.directions,transposed_neighbours)}",author_6,2024,4,
"class Update:
    def __init__(self, raw):
        self.parse_raw(raw)        

    def get_midle(self):
        return self.pages[int((len(self.pages) - 1)/2)]

    def parse_raw(self, raw):
        self.pages = list(map(int,raw.split("","")))",author_6,2024,5,
"def add_obstacle(self, location: Point):
        """"""Add an obstacle at the specified location.
        Store this location so we can clear the obstacle later.""""""
        self._pre_obstacle_added = (location, self.value_at_point(location))
        self.set_value_at_point(location, GuardMap.OBSTACLE)",author_6,2024,6,
"def solve(self):
        # Generate all combinations of operations
        operation_combinations = itertools.product(
            self.available_operations.keys(), repeat=len(self.available_numbers) - 1
        )

        for operations in operation_combinations:
            current_result = self.available_numbers[0]
            for i, operation in enumerate(operations):
                if operation == ""||"":
                    current_result = int(
                        self.available_operations[operation](
                            str(current_result), str(self.available_numbers[i + 1])
                        )
                    )
                else:
                    current_result = self.available_operations[operation](
                        current_result, self.available_numbers[i + 1]
                    )

            # Check if the current result matches the desired result
            if current_result == self.result:
                self.possible = True
                self.successful_combinations.append(
                    operations
                )  # Append successful combination",author_6,2024,7,
"def get_all_chars(self):
        for point in self.grid._all_points:
            char = self.grid.value_at_point(point=point)
            if char != ""."":
                if char in self.available_chars:
                    self.available_chars[char].append(point)
                else:
                    self.available_chars[char] = [point]",author_6,2024,8,
"def add_file(self, file: FileBlocks):
        if file.amount <= self.amount:
            self.files.append(FileBlocks(file.id, file.amount, position=self.position))
            self.amount -= file.amount
            self.position += file.amount
            file.amount -= file.amount
        else:
            passing_amount = file.amount - self.amount
            if passing_amount > self.amount:
                passing_amount = self.amount
            self.files.append(
                FileBlocks(file.id, passing_amount, position=self.position)
            )
            self.amount -= passing_amount
            self.position += passing_amount
            file.amount -= passing_amount",author_6,2024,9,
"def find_trails(self, grid: Grid):        
        queue = deque()
        queue.append((self.head, 0, [self.head]))  # current_point, count, trail        
        while queue:
            current_point: Point
            count: int
            trail: List[Point]
            current_point, count, trail = queue.popleft()
            neighbours = current_point.get_specific_neighbours(directions=directions)
            for neighbour in neighbours:                
                if grid.valid_location(neighbour) and grid.value_at_point(neighbour) == count + 1: # checks if neighbour is valid and uphill slope (+1)
                    new_trail = trail + [neighbour]
                    if count + 1 == 9: # add to trails when neighbour is 9
                        self.trails.append(new_trail)
                    else:
                        queue.append((neighbour, count + 1, new_trail))
        self.find_distinct_ends()
        self.pt2_score = len(self.trails)",author_6,2024,10,
"def parse_data(puzzle_input):
    """"""Parse input.""""""
    return list(
        zip(
            *[
                [int(number) for number in line.split()]
                for line in puzzle_input.split(""\n"")
            ]
        )
    )",author_7,2024,1,gahjelle
"def is_safe(report):
    """"""Check if a report is safe.

    A report consistst of consecutive levels and is safe if:

    - The levels are either all increasing or all decreasing.
    - Any two adjacent levels differ by at least one and at most three.

    ## Examples:

    >>> is_safe([1, 2, 4, 7, 8, 10, 13])
    True
    >>> is_safe([7, 6, 4, 2, 1])
    True
    >>> is_safe([8, 6, 4, 4, 1])
    False
    >>> is_safe([1, 5])
    False
    """"""
    incs = [second - first for first, second in zip(report, report[1:])]
    return all(1 <= inc <= 3 for inc in incs) or all(-3 <= inc <= -1 for inc in incs)",author_7,2024,2,
"def parse_data(puzzle_input):
    """"""Parse input. Break lines on occurences of do()""""""
    return puzzle_input.replace(""\n"", """").split(""do()"")


def part1(data):
    """"""Solve part 1.""""""
    return sum(multiplies("""".join(data)))


def part2(data):
    """"""Solve part 2.""""""
    return sum(multiplies("""".join(line.split(""don't"")[0] for line in data)))",author_7,2024,3,
"def count_in_grid(grid, find_one, directions):
    """"""Count how many times something is found in the grid""""""
    num_rows = max(row for row, _ in grid) + 1
    num_cols = max(col for _, col in grid) + 1
    return sum(
        find_one(grid, row, col, dir)
        for row, col, dir in itertools.product(
            range(num_rows), range(num_cols), directions
        )
    )",,2024,4,
"def part1(data):
    """"""Solve part 1.""""""
    rules, updates = data
    return sum(middle(update) for update in updates if check_update(update, rules))


def part2(data):
    """"""Solve part 2.""""""
    rules, updates = data
    return sum(
        middle(order_correctly(update, rules))
        for update in updates
        if not check_update(update, rules)
    )",,2024,5,
"def add_obstacles(grid, start):
    """"""Add obstacles that create loops.

    Put an obstacle at each point in the path from part 1. Start the walk right
    in front of the obstacle.

    TODO: Use multiprocessing to speed up
    """"""
    # Find all the locations that can be reached, and how they are entered
    original_path = walk(grid, start)
    first_entries = {
        pos: (prev_pos, prev_dir)
        for (prev_pos, prev_dir), (pos, _) in zip(
            original_path[-2::-1], original_path[-1::-1]
        )
        if pos != start
    }

    return {
        obstacle
        for obstacle, (pos, dir) in first_entries.items()
        if not walk(grid | {obstacle: ""#""}, pos, dir)
    }",,2024,6,
"def is_equation(target, numbers, include_concat=False):
    """"""Check that the equation can be satisfied

    Check numbers from the right of the list and abandon as early as possible.

    ## Examples

    >>> is_equation(3267, [81, 40, 27])
    True
    >>> is_equation(1977, [28, 1, 77])
    False
    >>> is_equation(7290, [6, 8, 6, 15], include_concat=True)
    True
    """"""
    if len(numbers) == 1:
        return target == numbers[0]
    *rest, last = numbers
    if target > last and is_equation(target - last, rest, include_concat):
        return True
    if target % last == 0 and is_equation(target // last, rest, include_concat):
        return True
    if include_concat:
        target_s, last_s = str(target), str(last)
        if (
            len(target_s) > len(last_s)
            and target_s.endswith(last_s)
            and is_equation(int(target_s.removesuffix(last_s)), rest, include_concat)
        ):
            return True

    return False",,2024,7,
"def find_all_antinodes(grid, antennas):
    """"""Find all resonant antinodes to the given antennas""""""
    antinodes = set()
    for (row, col), (row_other, col_other) in itertools.permutations(antennas, r=2):
        dr, dc = row_other - row, col_other - col
        # dr, dc = dr // math.gcd(dr, dc), dc // math.gcd(dr, dc)  # Not necessary
        for n in itertools.count(1):
            if (antinode := (row + n * dr, col + n * dc)) not in grid:
                break
            antinodes.add(antinode)
    return antinodes",,2024,8,
"def fragment(data):
    """"""Fragment files on disk to remove free spaces.

    Build up the disk from the beginning, filling in free space from the end.

    ## Example:

    >>> fragment([(1, 2), (3, 4), (5, 0)])
    [0, 2, 2, 1, 1, 1, 2, 2, 2]
    """"""
    disk = []
    start_idx, end_idx = 0, len(data) - 1
    end_len, _ = data[end_idx]
    while start_idx < end_idx:
        file_len, free_len = data[start_idx]
        disk.extend([start_idx] * file_len)
        while free_len > 0:
            disk.append(end_idx)
            free_len, end_len = free_len - 1, end_len - 1
            if end_len == 0:
                end_idx -= 1
                if end_idx == start_idx:
                    break
                end_len, _ = data[end_idx]
        start_idx += 1
    else:
        disk.extend([start_idx] * end_len)
    return disk",,2024,9,
